filename,width,height,class,xmin,ymin,xmax,ymax
/home/cp/sw/make/ml/data/apple/apple_079.jpg,720,720,apple,77,183,641,716
/home/cp/sw/make/ml/data/apple/apple_081.jpg,1500,1749,apple,70,398,1388,1731
/home/cp/sw/make/ml/data/apple/apple_083.jpg,800,745,apple,1,1,794,738
/home/cp/sw/make/ml/data/apple/apple_085.jpg,500,400,apple,88,41,415,393
/home/cp/sw/make/ml/data/apple/apple_086.jpg,425,282,apple,112,144,173,211
/home/cp/sw/make/ml/data/apple/apple_086.jpg,425,282,apple,250,140,322,215
/home/cp/sw/make/ml/data/banana/banana_075.jpg,581,374,banana,144,46,340,291
/home/cp/sw/make/ml/data/banana/banana_076.jpg,300,180,banana,1,60,294,176
/home/cp/sw/make/ml/data/banana/banana_007.jpg,615,865,banana,177,52,374,822
/home/cp/sw/make/ml/data/banana/banana_009.jpg,2048,2728,banana,822,381,1448,1519
/home/cp/sw/make/ml/data/banana/banana_001.jpg,722,406,banana,89,48,613,406
/home/cp/sw/make/ml/data/banana/banana_002.jpg,1000,840,banana,301,57,897,724
/home/cp/sw/make/ml/data/banana/banana_003.jpg,768,511,banana,180,161,647,436
/home/cp/sw/make/ml/data/banana/banana_003.jpg,768,511,banana,190,100,623,330
/home/cp/sw/make/ml/data/banana/banana_004.jpg,1100,756,banana,171,236,859,756
/home/cp/sw/make/ml/data/banana/banana_004.jpg,1100,756,banana,4,236,433,756
/home/cp/sw/make/ml/data/banana/banana_054.jpg,1024,768,banana,77,230,841,572
/home/cp/sw/make/ml/data/banana/banana_054.jpg,1024,768,banana,363,211,1013,754
/home/cp/sw/make/ml/data/banana/banana_054.jpg,1024,768,banana,37,187,793,485
/home/cp/sw/make/ml/data/banana/banana_055.jpg,1360,2104,banana,130,800,764,1800
/home/cp/sw/make/ml/data/banana/banana_055.jpg,1360,2104,banana,546,621,1071,1679
/home/cp/sw/make/ml/data/banana/banana_056.jpg,1910,1000,banana,4,3,1818,926
/home/cp/sw/make/ml/data/banana/banana_057.jpg,2569,4605,banana,10,625,2466,4515
/home/cp/sw/make/ml/data/banana/banana_058.jpg,700,350,banana,270,3,657,196
/home/cp/sw/make/ml/data/banana/banana_058.jpg,700,350,banana,37,75,186,237
/home/cp/sw/make/ml/data/banana/banana_058.jpg,700,350,banana,124,122,666,311
/home/cp/sw/make/ml/data/banana/banana_059.jpg,728,485,banana,81,63,524,458
/home/cp/sw/make/ml/data/banana/banana_005.jpg,1200,1800,banana,366,575,1173,1514
/home/cp/sw/make/ml/data/banana/banana_005.jpg,1200,1800,banana,46,524,1011,1202
/home/cp/sw/make/ml/data/banana/banana_005.jpg,1200,1800,banana,1,399,899,889
/home/cp/sw/make/ml/data/banana/banana_005.jpg,1200,1800,banana,164,212,945,791
/home/cp/sw/make/ml/data/banana/banana_060.jpg,900,700,banana,11,43,592,448
/home/cp/sw/make/ml/data/banana/banana_060.jpg,900,700,banana,24,174,599,657
/home/cp/sw/make/ml/data/banana/banana_061.jpg,640,364,banana,27,72,521,319
/home/cp/sw/make/ml/data/banana/banana_061.jpg,640,364,banana,272,80,498,306
/home/cp/sw/make/ml/data/banana/banana_062.jpg,640,360,banana,54,156,534,360
/home/cp/sw/make/ml/data/orange/orange_076.jpg,1620,1080,orange,494,1,1452,741
/home/cp/sw/make/ml/data/orange/orange_076.jpg,1620,1080,orange,822,643,1620,1066
/home/cp/sw/make/ml/data/orange/orange_007.jpg,1200,626,orange,26,69,604,581
/home/cp/sw/make/ml/data/orange/orange_009.jpg,500,427,orange,35,96,268,315
/home/cp/sw/make/ml/data/orange/orange_001.jpg,640,347,orange,88,123,225,282
/home/cp/sw/make/ml/data/orange/orange_001.jpg,640,347,orange,79,48,215,187
/home/cp/sw/make/ml/data/orange/orange_001.jpg,640,347,orange,422,118,554,263
/home/cp/sw/make/ml/data/orange/orange_001.jpg,640,347,orange,447,53,596,183
/home/cp/sw/make/ml/data/orange/orange_001.jpg,640,347,orange,315,75,458,219
/home/cp/sw/make/ml/data/orange/orange_001.jpg,640,347,orange,240,127,391,269
/home/cp/sw/make/ml/data/orange/orange_001.jpg,640,347,orange,176,32,309,158
/home/cp/sw/make/ml/data/orange/orange_002.jpg,670,584,orange,87,137,325,415
/home/cp/sw/make/ml/data/orange/orange_002.jpg,670,584,orange,347,127,603,398
/home/cp/sw/make/ml/data/orange/orange_003.jpg,250,250,orange,103,104,224,247
/home/cp/sw/make/ml/data/orange/orange_003.jpg,250,250,orange,97,1,203,115
/home/cp/sw/make/ml/data/orange/orange_003.jpg,250,250,orange,1,62,131,187
/home/cp/sw/make/ml/data/orange/orange_003.jpg,250,250,orange,1,2,111,70
/home/cp/sw/make/ml/data/orange/orange_003.jpg,250,250,orange,30,201,152,250
/home/cp/sw/make/ml/data/orange/orange_004.jpg,600,600,orange,92,66,546,522
/home/cp/sw/make/ml/data/orange/orange_053.jpg,1024,952,orange,324,291,692,680
/home/cp/sw/make/ml/data/orange/orange_054.jpg,500,500,orange,4,37,340,400
/home/cp/sw/make/ml/data/orange/orange_055.jpg,960,720,orange,36,158,492,644
/home/cp/sw/make/ml/data/orange/orange_056.jpg,1292,1088,orange,8,58,741,833
/home/cp/sw/make/ml/data/orange/orange_056.jpg,1292,1088,orange,580,21,1273,753
/home/cp/sw/make/ml/data/orange/orange_057.jpg,540,720,orange,124,57,335,253
/home/cp/sw/make/ml/data/orange/orange_057.jpg,540,720,orange,77,296,286,514
/home/cp/sw/make/ml/data/orange/orange_057.jpg,540,720,orange,254,376,466,575
/home/cp/sw/make/ml/data/orange/orange_057.jpg,540,720,orange,189,461,391,631
/home/cp/sw/make/ml/data/orange/orange_058.jpg,600,320,orange,38,1,345,299
/home/cp/sw/make/ml/data/orange/orange_059.jpg,400,400,orange,2,94,203,299
/home/cp/sw/make/ml/data/orange/orange_005.jpg,440,343,orange,56,113,278,332
/home/cp/sw/make/ml/data/orange/orange_005.jpg,440,343,orange,213,98,413,320
/home/cp/sw/make/ml/data/orange/orange_060.jpg,1824,1951,orange,175,368,1576,1759
/home/cp/sw/make/ml/data/orange/orange_061.jpg,1300,1300,orange,163,294,1003,1130
/home/cp/sw/make/ml/data/orange/orange_062.jpg,682,350,orange,56,73,314,321
/home/cp/sw/make/ml/data/orange/orange_062.jpg,682,350,orange,357,35,656,334
/home/cp/sw/make/ml/data/mixed/mixed_001.jpg,800,564,orange,221,83,463,338
/home/cp/sw/make/ml/data/mixed/mixed_001.jpg,800,564,apple,440,148,666,404
/home/cp/sw/make/ml/data/mixed/mixed_001.jpg,800,564,banana,54,228,627,528
/home/cp/sw/make/ml/data/mixed/mixed_020.jpg,350,306,orange,51,25,303,284
/home/cp/sw/make/ml/data/mixed/mixed_002.jpg,1300,957,orange,795,369,1173,780
/home/cp/sw/make/ml/data/mixed/mixed_002.jpg,1300,957,banana,147,48,869,476
/home/cp/sw/make/ml/data/mixed/mixed_002.jpg,1300,957,banana,169,180,839,798
/home/cp/sw/make/ml/data/mixed/mixed_003.jpg,800,657,orange,467,341,777,657
/home/cp/sw/make/ml/data/mixed/mixed_003.jpg,800,657,banana,10,204,616,421
/home/cp/sw/make/ml/data/mixed/mixed_003.jpg,800,657,banana,16,262,666,517
/home/cp/sw/make/ml/data/mixed/mixed_003.jpg,800,657,apple,64,39,326,332
/home/cp/sw/make/ml/data/mixed/mixed_004.jpg,640,857,orange,313,153,478,348
/home/cp/sw/make/ml/data/mixed/mixed_004.jpg,640,857,apple,127,148,320,371
/home/cp/sw/make/ml/data/mixed/mixed_004.jpg,640,857,banana,73,366,618,619
